step,action_direction,action_tp_mult,position,balance,equity,max_drawdown_pct
128,0.38901603,-0.76038945,1,10249.844470251157,10244.696600627773,8.5323
129,0.4945507,-0.8100809,1,10249.844470251157,10271.46552266936,8.2933
130,0.51272154,-0.83476543,1,10050.274833837078,10044.388524187234,10.3207
144,-0.600254,0.6932795,-1,9792.42265144979,9785.580189223267,12.6314
147,-0.5014392,0.23496175,-1,9498.322607244048,9493.334052987415,15.2407
149,-0.47090936,0.2493372,-1,9498.322607244048,9475.37525766355,15.401
150,-0.53530407,0.07919073,-1,9498.322607244048,9438.792526448262,15.7276
151,-0.57041687,-0.10146189,-1,9498.322607244048,9424.492004245929,15.8553
152,-0.56433016,-0.054477096,-1,9498.322607244048,9479.033530785076,15.3683
153,-0.5589203,-0.18795967,-1,9498.322607244048,9508.299715757306,15.107
154,-0.51801735,0.07181215,-1,9498.322607244048,9473.379835960894,15.4188
155,-0.52438897,-0.042117298,-1,9498.322607244048,9499.985458662923,15.1813
156,-0.53853905,-0.48835897,-1,9498.322607244048,9487.680358163234,15.2911
157,-0.5116493,-0.39790875,-1,9498.322607244048,9445.44393212377,15.6682
158,-0.5340356,-0.44452214,-1,9259.978529040662,9250.157321555665,17.4118
159,-0.5875744,-0.39564443,-1,9259.978529040662,9280.275691176306,17.1429
160,-0.56387657,-0.32845116,-1,9259.978529040662,9532.353349957739,14.8923
161,-0.52699125,-0.030590177,-1,9259.978529040662,9553.960006424713,14.6994
162,-0.5012098,0.12929547,-1,9644.386902382044,9633.994586916857,13.9848
163,-0.4434048,0.32013357,-1,9402.491336991825,9394.34391138971,16.1245
164,-0.26861954,0.43235934,-1,9193.83363337212,9189.36499006864,17.9546
165,-0.27645975,0.49359465,-1,9193.83363337212,9151.232567212297,18.295
166,-0.26829445,0.4895246,-1,9070.150123419353,9066.050696672806,19.0556
167,-0.41892207,0.6689724,-1,9070.150123419353,9061.95126992626,19.0922
168,-0.4707235,0.6899705,-1,9070.150123419353,9044.460382474334,19.2483
169,-0.51388675,0.7209127,-1,9070.150123419353,9049.379694570189,19.2044
170,-0.52254426,0.5981147,-1,9070.150123419353,9031.888807118268,19.3606
171,-0.35413498,0.49875104,-1,9070.150123419353,9002.64622965958,19.6217
175,-0.31938434,0.6710081,-1,9070.150123419353,9153.23183881598,18.2772
176,-0.34673953,0.667943,-1,9070.150123419353,9117.430178562827,18.5968
177,-0.26932156,0.5109949,-1,9070.150123419353,9168.536365336418,18.1405
178,-0.2377832,0.55165625,-1,9070.150123419353,9113.877342049158,18.6286
179,-0.25139582,0.47926688,-1,9070.150123419353,9114.150637165594,18.6261
180,-0.44077218,0.6109443,-1,9070.150123419353,9078.348976912433,18.9458
181,-0.37278193,0.49474978,-1,9070.150123419353,9301.631087040892,16.9522
182,-0.36405665,0.21920335,-1,9070.150123419353,9293.70552866424,17.023
183,-0.44665468,0.67174876,-1,9372.862755761204,9363.348033816032,16.4012
184,-0.40955567,0.5236802,-1,9372.862755761204,9530.172825254609,14.9117
185,-0.4329831,0.59457195,-1,9372.862755761204,9363.348033816032,16.4012
186,-0.37209785,0.5611899,-1,9372.862755761204,9560.61993547914,14.6399
187,-0.4367187,0.09734547,-1,9372.862755761204,9547.93363955225,14.7532
188,-0.44069636,0.10248768,-1,9372.862755761204,9520.658103309437,14.9967
189,-0.3385911,0.41610694,-1,9931.923579501383,9926.532679477268,11.3729
191,-0.29961836,0.013061523,-1,9931.923579501383,9973.253813019568,10.9558
192,-0.35615087,-0.29820722,-1,9931.923579501383,9909.641192735051,11.5237
193,-0.30695587,0.032057524,-1,9931.923579501383,9984.395006402738,10.8563
194,-0.23227239,-0.021739304,-1,9931.923579501383,9909.28179940011,11.5269
197,0.20107305,-0.055627584,-1,9931.923579501383,9855.732192493933,12.0051
199,-0.3454829,0.082105875,-1,9763.578840654085,9757.080045902938,12.8858
200,-0.44597888,-0.2413913,-1,9763.578840654085,9885.322928992164,11.7409
201,-0.42551637,-0.5198993,-1,9763.578840654085,9890.088711809674,11.6983
202,-0.4461211,-0.43665183,-1,9594.719643541073,9587.628330770132,14.3988
203,-0.5006712,-0.46776175,-1,9594.719643541073,9578.646001260277,14.479
204,-0.49444622,-0.3934695,-1,9594.719643541073,9837.2425403071,12.1701
205,-0.48087543,-0.05252552,-1,9594.719643541073,9775.311742107579,12.7231
206,-0.5211926,0.2997905,-1,9929.11144234656,9921.716527797056,11.4159
207,-0.5952332,0.6742258,-1,9670.159860871656,9662.82062258626,13.7274
208,-0.5440899,0.66285443,-1,9670.159860871656,9579.64258868517,14.4701
209,-0.2503779,0.4477086,-1,9670.159860871656,9584.53541420876,14.4264
216,-0.5790217,-0.43380857,-1,9382.156873823098,9378.107351769233,16.2694
217,-0.5979453,-0.44218266,-1,9382.156873823098,9300.356528335056,16.9636
218,-0.61728936,-0.41692138,-1,9382.156873823098,9333.832577313658,16.6647
219,-0.62808263,-0.42324018,-1,9110.330361200635,9106.276786619837,18.6964
220,-0.6722124,-0.34177244,-1,9110.330361200635,9086.008913715863,18.8774
221,-0.6655195,-0.33523244,-1,9110.330361200635,8998.992179381465,19.6543
